,label,abcd_var
140,b'S_orbital_med-olfact',mrisdp_137
141,b'S_orbital-H_Shaped',mrisdp_138
142,b'S_parieto_occipital',mrisdp_139
143,b'S_pericallosal',mrisdp_140
144,b'S_postcentral',mrisdp_141
145,b'S_precentral-inf-part',mrisdp_142
146,b'S_precentral-sup-part',mrisdp_143
147,b'S_suborbital',mrisdp_144
148,b'S_subparietal',mrisdp_145
149,b'S_temporal_inf',mrisdp_146
150,b'S_temporal_sup',mrisdp_147
151,b'S_temporal_transverse',mrisdp_148
